S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
34,8/9/2011,1.610000014,1.696666956,1.580000043,1.670667052,1.670667052,20001000,1.823666716,1.857160008,38.52840751,-0.057001309,-0.026168777,2.034700329,1.823666716,1.612633102,1.857160008,1.783296685,0.060067943,0.029259849,0.094667077
35,8/10/2011,1.69599998,1.69599998,1.575332999,1.588000059,1.588000059,23463000,1.807600069,1.848733351,33.91801344,-0.065802407,-0.034095503,2.038126965,1.807600069,1.577073173,1.848733351,1.784286685,-0.049481429,0.029797255,-0.082666993
36,8/11/2011,1.602666974,1.716667056,1.600000024,1.686666965,1.686666965,12547500,1.799900067,1.844440031,42.72708838,-0.064077106,-0.040091823,2.035721542,1.799900067,1.564078591,1.844440031,1.78560002,0.06213281,0.030370231,0.098666906
37,8/12/2011,1.706666946,1.809332967,1.690667033,1.753999949,1.753999949,15136500,1.795666713,1.84117337,47.83740095,-0.056623858,-0.04339823,2.031592276,1.795666713,1.559741149,1.84117337,1.78737002,0.039920734,0.03091143,0.067332983
38,8/15/2011,1.774667025,1.783332944,1.728667021,1.748667002,1.748667002,11079000,1.792333412,1.83597337,47.47607671,-0.050564553,-0.044831495,2.028936181,1.792333412,1.555730644,1.83597337,1.789050019,-0.003040449,0.030093883,-0.005332947
39,8/16/2011,1.741999984,1.769333005,1.722000003,1.74000001,1.74000001,8065500,1.786366761,1.832506709,46.85665468,-0.045932384,-0.045051673,2.02192659,1.786366761,1.550806931,1.832506709,1.79047002,-0.004956342,0.029384728,-0.008666992
40,8/17/2011,1.759333014,1.776666999,1.700667024,1.722000003,1.722000003,9655500,1.776833409,1.829120049,45.52809745,-0.043215644,-0.044684467,2.006535734,1.776833409,1.547131084,1.829120049,1.791943355,-0.010344831,0.029377147,-0.018000007
41,8/18/2011,1.666666985,1.676666975,1.564666986,1.617333055,1.617333055,15849000,1.762033409,1.825306711,38.66327637,-0.048944158,-0.045536405,1.992790077,1.762033409,1.531276741,1.825306711,1.792946685,-0.0607822,0.029961522,-0.104666948
42,8/19/2011,1.590667009,1.614667058,1.466667056,1.486667037,1.486667037,20629500,1.738733411,1.818213391,32.14664505,-0.063298042,-0.049088732,1.981579401,1.738733411,1.495887421,1.818213391,1.793123355,-0.080791039,0.031823342,-0.130666018
43,8/22/2011,1.540667057,1.586666942,1.445333004,1.463333011,1.463333011,14791500,1.716933411,1.810333393,31.13735065,-0.075684021,-0.05440779,1.975938905,1.716933411,1.457927918,1.810333393,1.79214002,-0.01569553,0.031815397,-0.023334026
44,8/23/2011,1.462000012,1.540667057,1.433333039,1.530666947,1.530666947,13035000,1.700133407,1.803040071,37.25892558,-0.079154271,-0.059357086,1.961686256,1.700133407,1.438580558,1.803040071,1.79164669,0.04601409,0.032420032,0.067333937
45,8/24/2011,1.539999962,1.59533298,1.521999955,1.591333032,1.591333032,10264500,1.68756671,1.796733391,42.24084727,-0.076131626,-0.062711994,1.944631965,1.68756671,1.430501454,1.796733391,1.79127669,0.039633759,0.032970698,0.060666084
46,8/25/2011,1.591333032,1.591333032,1.526666999,1.540667057,1.540667057,10197000,1.670700061,1.791120071,39.42522588,-0.076937589,-0.065557113,1.919713198,1.670700061,1.421686924,1.791120071,1.790770025,-0.0318387,0.032686799,-0.050665975
47,8/26/2011,1.514000058,1.596667051,1.471333027,1.582000017,1.582000017,11427000,1.655900061,1.787426732,42.77628782,-0.073395045,-0.0671247,1.888516198,1.655900061,1.423283924,1.787426732,1.78889336,0.026827964,0.03270989,0.04133296
48,8/29/2011,1.614667058,1.656666994,1.601333022,1.647333026,1.647333026,12051000,1.642366713,1.785040052,47.7012489,-0.064571386,-0.066614037,1.84149749,1.642366713,1.443235936,1.785040052,1.78778336,0.041297729,0.033269676,0.065333009
49,8/30/2011,1.633332968,1.651332974,1.605999947,1.64199996,1.64199996,5493000,1.633333361,1.783200052,47.34306003,-0.057347836,-0.064760797,1.814510205,1.633333361,1.452156518,1.783200052,1.786046695,-0.003237394,0.033174411,-0.005333066
50,8/31/2011,1.653332949,1.700000048,1.618667006,1.649333,1.649333,12357000,1.625133359,1.779480052,47.92212512,-0.050449852,-0.061898608,1.786772803,1.625133359,1.463493916,1.779480052,1.784026695,0.00446592,0.032075908,0.00733304
51,9/1/2011,1.644000053,1.657999992,1.589333057,1.600000024,1.600000024,12721500,1.622633362,1.775200052,44.38578822,-0.048405915,-0.059200069,1.784203708,1.622633362,1.461063015,1.775200052,1.782136695,-0.029910865,0.032295762,-0.049332976
52,9/2/2011,1.577332973,1.599333048,1.511999965,1.537999988,1.537999988,11548500,1.618733358,1.769013393,40.35530171,-0.051198778,-0.057599811,1.784467779,1.618733358,1.452998938,1.769013393,1.779996695,-0.038750022,0.032569896,-0.062000036
53,9/6/2011,1.5,1.54666698,1.485999942,1.529332995,1.529332995,12147000,1.616400009,1.762840052,39.81107657,-0.05349484,-0.056778817,1.785749874,1.616400009,1.447050144,1.762840052,1.777680025,-0.005635236,0.032570701,-0.008666992
54,9/7/2011,1.559332967,1.600000024,1.552000046,1.589333057,1.589333057,6888000,1.61233331,1.758013372,45.30972655,-0.049897791,-0.055402612,1.780174801,1.61233331,1.444491818,1.758013372,1.77529669,0.03923283,0.033116797,0.060000062
55,9/8/2011,1.572000027,1.601999998,1.552000046,1.574000001,1.574000001,7585500,1.611633307,1.752013373,44.19848467,-0.047734105,-0.05386891,1.779990882,1.611633307,1.443275731,1.752013373,1.772033356,-0.009647478,0.032918598,-0.015333056
56,9/9/2011,1.557999969,1.571333051,1.503332973,1.53133297,1.53133297,10039500,1.603866607,1.744920032,41.17246075,-0.048898569,-0.052874842,1.771993361,1.603866607,1.435739852,1.744920032,1.768166686,-0.02710739,0.033065174,-0.042667031
57,9/12/2011,1.5,1.55400002,1.496667027,1.525333047,1.525333047,8499000,1.592433262,1.736586692,40.7499575,-0.049732276,-0.052246329,1.748859666,1.592433262,1.436006857,1.736586692,1.763970016,-0.003918105,0.03271398,-0.005999923
58,9/13/2011,1.534000039,1.606667042,1.516667008,1.605332971,1.605332971,10897500,1.58526656,1.730000012,48.35925136,-0.043436955,-0.050484454,1.724605205,1.58526656,1.445927916,1.730000012,1.760223346,0.052447512,0.03368385,0.079999924
59,9/14/2011,1.616667032,1.656000018,1.585999966,1.622666955,1.622666955,12462000,1.579399908,1.723600011,49.86176439,-0.036626947,-0.047712953,1.700927094,1.579399908,1.457872721,1.723600011,1.756893346,0.01079775,0.033726466,0.017333984
60,9/15/2011,1.638666987,1.661999941,1.621999979,1.65466702,1.65466702,8439000,1.576033258,1.71808001,52.60340188,-0.028321358,-0.043834634,1.684613137,1.576033258,1.46745338,1.71808001,1.753390016,0.019720661,0.033875689,0.032000065
61,9/16/2011,1.65199995,1.722666979,1.632666945,1.720000029,1.720000029,21256500,1.581166607,1.712840011,57.69024118,-0.01627963,-0.038323633,1.705618753,1.581166607,1.456714462,1.712840011,1.750540016,0.039484082,0.034149758,0.065333009
62,9/19/2011,1.663333058,1.720667005,1.588000059,1.718000054,1.718000054,17361000,1.592733258,1.708786671,57.48684362,-0.006819247,-0.032022756,1.722778756,1.592733258,1.46268776,1.708786671,1.748346682,-0.001162776,0.03389793,-0.001999974
63,9/20/2011,1.731999993,1.773332953,1.711333036,1.733999968,1.733999968,17706000,1.606266606,1.705666671,58.74012671,0.001946793,-0.025228846,1.735964707,1.606266606,1.476568505,1.705666671,1.746520016,0.009313104,0.033868686,0.015999913
64,9/21/2011,1.730000019,1.79666698,1.713333011,1.723333001,1.723333001,14814000,1.615899909,1.70257333,57.52261695,0.007941661,-0.018594745,1.750243654,1.615899909,1.481556163,1.70257333,1.745033346,-0.006151653,0.033868079,-0.010666966
65,9/22/2011,1.709332943,1.740666986,1.658666968,1.70866704,1.70866704,11637000,1.621766609,1.698560011,55.80983301,0.011378057,-0.012600184,1.761448429,1.621766609,1.482084788,1.698560011,1.743056681,-0.008510231,0.033784653,-0.014665961
66,9/23/2011,1.699332952,1.774667025,1.690000057,1.758666992,1.758666992,17346000,1.632666606,1.696920011,60.16470799,0.017929326,-0.006494282,1.779188573,1.632666606,1.486144639,1.696920011,1.741060016,0.029262549,0.033691963,0.049999952
67,9/26/2011,1.768000007,1.768000007,1.659999967,1.701333046,1.701333046,14022000,1.638633257,1.694173331,53.6372581,0.018284116,-0.001538603,1.786131998,1.638633257,1.491134517,1.694173331,1.738883346,-0.032600797,0.033999414,-0.057333946
68,9/27/2011,1.733332992,1.799332976,1.704666972,1.746000051,1.746000051,10117500,1.643566608,1.692786672,57.50534097,0.021916899,0.003152498,1.798320979,1.643566608,1.488812238,1.692786672,1.737106681,0.026254122,0.034171299,0.044667006
69,9/28/2011,1.733332992,1.766667008,1.633999944,1.63933301,1.63933301,10849500,1.643433261,1.688386672,47.34652945,0.01600428,0.005722854,1.798197397,1.643433261,1.488669125,1.688386672,1.735120011,-0.061092233,0.035045505,-0.106667042
70,9/29/2011,1.714666963,1.721333027,1.570000052,1.60800004,1.60800004,13944000,1.641366613,1.682293332,44.84063669,0.008690004,0.006316284,1.796862577,1.641366613,1.485870649,1.682293332,1.733650011,-0.019113243,0.03484535,-0.03133297
71,9/30/2011,1.653332949,1.659332991,1.565999985,1.626000047,1.626000047,20041500,1.642666614,1.676546671,46.5895035,0.004296314,0.00591229,1.797189176,1.642666614,1.488144052,1.676546671,1.731913347,0.011194034,0.034899463,0.018000007
72,10/3/2011,1.663333058,1.666666985,1.549999952,1.582000017,1.582000017,15348000,1.644866616,1.669133332,43.00048397,-0.002704972,0.004188838,1.794542695,1.644866616,1.495190536,1.669133332,1.729553347,-0.027060288,0.034903059,-0.04400003
73,10/4/2011,1.552667022,1.621333003,1.528666973,1.577332973,1.577332973,18004500,1.647266614,1.662693331,42.6253989,-0.008531783,0.001644714,1.790871781,1.647266614,1.503661448,1.662693331,1.726986677,-0.002950091,0.034734884,-0.004667044
74,10/5/2011,1.601999998,1.722666979,1.55666697,1.691333055,1.691333055,18442500,1.652366614,1.659186652,53.33344348,-0.003905696,0.000534632,1.794618204,1.652366614,1.510115025,1.659186652,1.724876677,0.072273948,0.036265297,0.114000082
75,10/6/2011,1.691333055,1.840000033,1.667999983,1.797333002,1.797333002,26536500,1.663533264,1.658279972,60.68150157,0.008219076,0.00207152,1.814236695,1.663533264,1.512829834,1.658279972,1.723110008,0.062672426,0.03733234,0.105999947
76,10/7/2011,1.798666954,1.840000033,1.736667037,1.799332976,1.799332976,19674000,1.676933265,1.656706631,60.80689648,0.017784419,0.0052141,1.825883635,1.676933265,1.527982895,1.656706631,1.721230007,0.001112746,0.03723213,0.001999974
77,10/10/2011,1.820667028,1.878666997,1.799999952,1.858667016,1.858667016,13852500,1.693599963,1.656319971,64.43113825,0.029809161,0.010133112,1.845534171,1.693599963,1.541665756,1.656319971,1.720493342,0.032975575,0.037526138,0.05933404
78,10/11/2011,1.833999991,1.851333022,1.805999994,1.840667009,1.840667009,8635500,1.705366665,1.654773312,62.5417088,0.037454653,0.01559742,1.864419214,1.705366665,1.546314117,1.654773312,1.721180012,-0.009684363,0.037431152,-0.018000007
79,10/12/2011,1.816666961,1.866667032,1.813333035,1.853332996,1.853332996,16851000,1.716899967,1.655386631,63.35601663,0.044028268,0.02128359,1.883563111,1.716899967,1.550236823,1.655386631,1.721643342,0.006881194,0.036751019,0.012665987
80,10/13/2011,1.842000008,1.898000002,1.829332948,1.862666965,1.862666965,15652500,1.727299964,1.65637331,63.9774957,0.049421381,0.026911148,1.902853316,1.727299964,1.551746613,1.65637331,1.721713342,0.005036315,0.03674457,0.009333968
81,10/14/2011,1.866667032,1.903332949,1.817332983,1.870000005,1.870000005,21007500,1.734799963,1.660773311,64.48707609,0.053668519,0.032262622,1.920961135,1.734799963,1.548638791,1.660773311,1.722230007,0.00393685,0.034302804,0.00733304
82,10/17/2011,1.857332945,1.866667032,1.817332983,1.827999949,1.827999949,11317500,1.740299958,1.665013309,59.31183444,0.05303401,0.0364169,1.930604404,1.740299958,1.549995512,1.665013309,1.722493342,-0.022459923,0.034329923,-0.042000055
83,10/18/2011,1.820000052,1.895333052,1.780666947,1.88933301,1.88933301,14995500,1.74806661,1.671279969,63.8715405,0.056825177,0.040498555,1.94908584,1.74806661,1.54704738,1.671279969,1.723066671,0.033552003,0.034356638,0.06133306
84,10/19/2011,1.868000031,1.870666981,1.820000052,1.838000059,1.838000059,11893500,1.753799963,1.674626629,58.01188614,0.055052948,0.043409434,1.958183182,1.753799963,1.549416744,1.674626629,1.723366672,-0.02716988,0.033670441,-0.051332951
85,10/20/2011,1.829332948,1.831333041,1.799999952,1.822667003,1.822667003,14995500,1.759499961,1.679319968,56.34897955,0.051813915,0.04509033,1.964886616,1.759499961,1.554113306,1.679319968,1.723536672,-0.00834225,0.032868192,-0.015333056
86,10/21/2011,1.826666951,1.886667013,1.800667048,1.868667006,1.868667006,17139000,1.764999962,1.682959969,60.0489081,0.052355256,0.046543315,1.975822228,1.764999962,1.554177696,1.682959969,1.723586672,0.025237744,0.031920683,0.046000004
87,10/24/2011,1.85800004,1.925999999,1.850000024,1.903332949,1.903332949,14109000,1.775099957,1.685946629,62.62027951,0.054948117,0.048224275,1.992020441,1.775099957,1.558179473,1.685946629,1.723690002,0.018551161,0.031551053,0.034665942
88,10/25/2011,1.881999969,1.924000025,1.853332996,1.883332968,1.883332968,9816000,1.781966603,1.688639948,60.21240746,0.054757931,0.049531007,2.003415037,1.781966603,1.560518169,1.688639948,1.723623332,-0.010507873,0.031593646,-0.019999981
89,10/26/2011,1.879333019,1.891332984,1.826666951,1.865332961,1.865332961,7657500,1.7932666,1.691146607,58.04898756,0.052549004,0.050134606,2.007392196,1.7932666,1.579141005,1.691146607,1.723963332,-0.009557528,0.031620936,-0.018000007
90,10/27/2011,1.88933301,1.929999948,1.873999953,1.917333007,1.917333007,13041000,1.808733249,1.695053267,62.26686068,0.054367667,0.050981218,2.011481015,1.808733249,1.605985482,1.695053267,1.724563332,0.027877085,0.031780897,0.052000046
91,10/28/2011,1.899999976,2.0,1.867333055,1.991333008,1.991333008,18960000,1.826999897,1.702533267,67.30474788,0.061076105,0.053000196,2.026404573,1.826999897,1.627595221,1.702533267,1.725779997,0.038595278,0.030826254,0.074000001
92,10/31/2011,1.966667056,1.967332959,1.916666985,1.957999945,1.957999945,17010000,1.845799893,1.711959925,63.21077645,0.062976931,0.054995543,2.018356202,1.845799893,1.673243584,1.711959925,1.726986661,-0.01673907,0.028442502,-0.033333063
93,11/1/2011,1.892667055,1.927999973,1.866667032,1.925333023,1.925333023,9528000,1.863199896,1.721199925,59.39761014,0.061142589,0.056224952,1.987356433,1.863199896,1.739043358,1.721199925,1.728066661,-0.016683822,0.028458166,-0.032666922
94,11/2/2011,1.933333039,1.950667024,1.883332968,1.914000034,1.914000034,13129500,1.874333245,1.728866587,58.08841296,0.058104588,0.056600879,1.971942305,1.874333245,1.776724185,1.728866587,1.729626662,-0.005886249,0.02790619,-0.011332989
95,11/3/2011,2.0,2.165999889,1.96866703,2.164000034,2.164000034,37645500,1.892666596,1.740319927,72.49210188,0.075005248,0.060281753,2.046869851,1.892666596,1.738463341,1.740319927,1.732906662,0.130616508,0.032763608,0.25
