S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
543,8/19/2013,9.562000275,9.825332642,9.522000313,9.659999847,9.659999847,120565500,9.194566584,8.12887991,60.12012485,0.451202627,0.508054476,10.38309724,9.194566584,8.006035929,8.12887991,4.308829967,0.020422464,0.042335572,0.193332672
3116,11/7/2023,219.9799957,223.1199951,215.7200012,222.1799927,222.1799927,116900100,224.7194992,244.1813992,46.04855,-9.159870214,-10.58710002,265.7434396,224.7194992,183.6955588,244.1813992,219.8821497,0.013271256,0.033314601,2.909988403
2336,10/1/2020,146.9199982,149.6266632,144.8066711,149.386673,149.386673,152224500,136.8189991,125.1034532,58.40208697,4.246660659,4.606460918,158.0534742,136.8189991,115.5845239,125.1034532,69.79444333,0.044637749,0.062826551,6.383346558
2916,1/23/2023,135.8699951,145.3800049,134.2700043,143.75,143.75,203119200,121.6429993,153.8429996,56.11038806,-5.791323613,-10.79544621,139.1262924,121.6429993,104.1597062,153.8429996,236.6792173,0.077424689,0.049363637,10.33000183
2250,6/1/2020,57.20000076,59.93333435,56.93999863,59.87333298,59.87333298,224092500,53.95096645,46.39586681,69.84951386,2.402868154,2.416798496,57.64782962,53.95096645,50.25410328,46.39586681,32.52645335,0.075568831,0.051585683,4.206665039
3152,12/29/2023,255.1000061,255.1900024,247.4299927,248.4799957,248.4799957,100615300,247.1379982,232.8957996,52.07011772,5.042504685,5.070092322,262.5108545,247.1379982,231.7651419,232.8957996,229.2481496,-0.018563856,0.029456321,-4.699996948
1554,8/23/2017,22.59933281,23.56599998,22.55333328,23.51799965,23.51799965,74317500,23.20016632,23.18467979,53.1924073,0.165147184,0.242301866,25.07007174,23.20016632,21.3302609,23.18467979,18.83547335,0.033455404,0.025248277,0.761333466
2259,6/12/2020,65.33333588,65.86533356,60.84000015,62.35200119,62.35200119,251451000,57.9906002,51.57192009,60.25654256,3.597926898,3.155844215,66.51164728,57.9906002,49.46955312,51.57192009,34.64865004,-0.038608633,0.047488672,-2.504001617
2081,9/27/2019,16.14666748,16.5806675,15.91533279,16.1420002,16.1420002,166746000,15.76656666,15.56270672,55.28548379,0.167839585,0.18308234,16.93438252,15.76656666,14.5987508,15.56270672,17.41064668,-0.001772806,0.03249611,-0.02866745
1049,8/21/2015,15.73333263,16.25333214,15.36733341,15.3846674,15.3846674,98853000,16.81959987,17.3256933,36.5702131,-0.338345542,-0.263612851,18.39090052,16.81959987,15.24829922,17.3256933,15.30152664,-0.047113613,0.027535222,-0.76066494
2377,11/30/2020,200.7366638,202.6000061,184.8366699,189.1999969,189.1999969,189009300,155.2041656,146.8616656,72.56256169,12.88031071,7.690696712,196.669946,155.2041656,113.7383853,146.8616656,92.55287643,-0.03100244,0.038671306,-6.053329468
3142,12/14/2023,241.2200012,253.8800049,240.7899933,251.0500031,251.0500031,160829200,239.3720001,233.5279996,61.96492492,3.325306328,2.803170896,248.2563446,239.3720001,230.4876557,233.5279996,225.7484996,0.049145431,0.029066438,11.76000977
2118,11/19/2019,23.45000076,23.99933243,23.18666649,23.96800041,23.96800041,115872000,21.85256681,18.53434673,80.46247535,1.555687699,1.512168617,24.95940339,21.85256681,18.74573024,18.53434673,16.99887004,0.027229379,0.034941075,0.635334015
1136,12/24/2015,15.37066746,15.4586668,15.21866703,15.37133312,15.37133312,10620000,15.27136664,14.81954668,53.72828109,0.116593383,0.097885307,15.94892778,15.27136664,14.5938055,14.81954668,15.73293995,0.003787586,0.028494297,0.058000565
238,5/31/2012,2.004667044,2.019332886,1.916666985,1.966667056,1.966667056,16780500,2.031000012,2.184413331,43.88938734,-0.046377576,-0.056127993,2.221022544,2.031000012,1.84097748,2.184413331,2.00432664,-0.029924026,0.036324529,-0.060665965
2969,4/10/2023,179.9400024,185.1000061,176.1100006,184.5099945,184.5099945,142154600,188.8560005,191.8394003,46.28245309,0.613050215,1.623813956,203.3361799,188.8560005,174.3758211,191.8394003,214.8567171,-0.002972026,0.038831033,-0.550003052
1252,6/13/2016,14.63333321,15.05133343,14.51066685,14.52466679,14.52466679,62895000,14.65593328,15.45857346,44.98001308,-0.015140319,-0.069048411,15.61145463,14.65593328,13.70041194,15.45857346,14.76114667,-0.004204967,0.022978812,-0.061333656
2185,2/27/2020,48.66666794,49.31800079,44.59999847,45.26666641,45.26666641,364158000,52.58293304,40.1165731,44.57449359,3.75566105,5.208362614,62.8575137,52.58293304,42.30835239,40.1165731,22.78605665,-0.12814584,0.05754264,-6.653331757
2290,7/28/2020,100.2666702,104.3133316,98.2946701,98.43267059,98.43267059,237130500,95.95183372,75.02034683,58.00411601,8.075607324,9.351694147,115.6696902,95.95183372,76.23397722,75.02034683,45.42858005,-0.040991123,0.045278877,-4.207328796
164,2/14/2012,2.115999937,2.25266695,2.093333006,2.211333036,2.211333036,27162000,1.979633301,1.948573287,66.34749614,0.072738479,0.049126124,2.255187404,1.979633301,1.704079199,1.948573287,1.864809989,0.053350272,0.043567464,0.111999989
3303,8/7/2024,200.7700043,203.4900055,191.4799957,191.7599945,191.7599945,71159800,229.5959999,209.6293997,37.19433841,-4.650637896,1.962308657,268.6318592,229.5959999,190.5601406,209.6293997,203.31245,-0.044258398,0.03974287,-8.880004883
253,6/21/2012,2.28399992,2.285332918,2.122667074,2.145999908,2.145999908,28378500,2.005366701,2.072093337,56.3926303,0.022211684,-0.013255658,2.206397514,2.005366701,1.804335888,2.072093337,2.034899978,-0.047069352,0.035302199,-0.106000185
1737,5/16/2018,18.92200089,19.25399971,18.77066612,19.09866714,19.09866714,85110000,19.57070007,19.93758667,44.46692785,-0.086511281,-0.057483458,20.6589878,19.57070007,18.48241235,19.93758667,21.85065327,0.008093479,0.03352035,0.153333664
1950,3/22/2019,18.17200089,18.18666649,17.60000038,17.63533211,17.63533211,131184000,19.00883322,20.0928133,36.09038202,-0.627181897,-0.557448942,20.93144282,19.00883322,17.08622362,20.0928133,21.06135662,-0.034632557,0.030649998,-0.632667542
931,3/5/2015,13.5233326,13.74600029,13.34333324,13.37533283,13.37533283,73155000,13.84966674,13.90914663,43.71328913,-0.161982767,-0.107629256,14.75869904,13.84966674,12.94063444,13.90914663,15.3235733,-0.008940979,0.021553138,-0.120667458
